timestamp,predicted_traffic_mb
2025-01-27 00:00:00,402.0429802714995
2025-01-27 00:30:00,600.5177793107332
2025-01-27 01:00:00,712.7316645302302
2025-01-27 01:30:00,582.7510066399749
2025-01-27 02:00:00,221.0539814476226
2025-01-27 02:30:00,266.64961022875036
2025-01-27 03:00:00,59.698234955114046
2025-01-27 03:30:00,3.0
2025-01-27 04:00:00,3.0
2025-01-27 04:30:00,3.0
2025-01-27 05:00:00,159.42495837644532
2025-01-27 05:30:00,170.79788124182775
2025-01-27 06:00:00,277.15526071355833
2025-01-27 06:30:00,650.2378263214986
2025-01-27 07:00:00,1104.352795285912
2025-01-27 07:30:00,1692.3668060978948
2025-01-27 08:00:00,2182.2962896210174
2025-01-27 08:30:00,2633.028890323357
2025-01-27 09:00:00,3572.466579438177
2025-01-27 09:30:00,4097.229699107375
2025-01-27 10:00:00,5106.227632908591
2025-01-27 10:30:00,5247.591727640937
2025-01-27 11:00:00,5740.062970169435
2025-01-27 11:30:00,6175.0297889183885
2025-01-27 12:00:00,6608.871595439561
2025-01-27 12:30:00,6741.220424121952
2025-01-27 13:00:00,6419.215496519505
2025-01-27 13:30:00,6254.788647899105
2025-01-27 14:00:00,5790.542522440469
2025-01-27 14:30:00,5808.602063686648
2025-01-27 15:00:00,5730.9355475355915
2025-01-27 15:30:00,5234.939827095273
2025-01-27 16:00:00,5119.0061792971155
2025-01-27 16:30:00,4451.906071327996
2025-01-27 17:00:00,3618.7203381005534
2025-01-27 17:30:00,2909.4542394549135
2025-01-27 18:00:00,2388.5048339638747
2025-01-27 18:30:00,1978.7100426726402
2025-01-27 19:00:00,1561.5157286221513
2025-01-27 19:30:00,1457.102985873737
2025-01-27 20:00:00,1177.0006089074059
2025-01-27 20:30:00,1035.8265187593208
2025-01-27 21:00:00,817.7026443871105
2025-01-27 21:30:00,770.9385418755282
2025-01-27 22:00:00,882.8239120545556
2025-01-27 22:30:00,595.2103061612767
2025-01-27 23:00:00,834.4279052053339
2025-01-27 23:30:00,667.0601238413161
2025-01-28 00:00:00,903.7202333434888
2025-01-28 00:30:00,679.4563047451611
2025-01-28 01:00:00,312.6991330376534
2025-01-28 01:30:00,208.40987398783932
2025-01-28 02:00:00,212.30076244430504
2025-01-28 02:30:00,183.69326593106547
2025-01-28 03:00:00,3.0
2025-01-28 03:30:00,3.0
2025-01-28 04:00:00,3.0
2025-01-28 04:30:00,3.0
2025-01-28 05:00:00,48.3597072294392
2025-01-28 05:30:00,251.14036442730085
2025-01-28 06:00:00,244.28666315062716
2025-01-28 06:30:00,438.85690301095786
2025-01-28 07:00:00,1156.5513586908949
2025-01-28 07:30:00,1474.9686052546047
2025-01-28 08:00:00,1911.2469959861073
2025-01-28 08:30:00,2724.722104267439
2025-01-28 09:00:00,3397.8980540618895
2025-01-28 09:30:00,4402.4257368901435
2025-01-28 10:00:00,4777.889391167444
2025-01-28 10:30:00,5663.60625660072
2025-01-28 11:00:00,6199.057219698934
2025-01-28 11:30:00,6400.2502878561145
2025-01-28 12:00:00,6544.319693278821
2025-01-28 12:30:00,6583.575076297829
2025-01-28 13:00:00,6423.8556975467445
2025-01-28 13:30:00,6309.394827513162
2025-01-28 14:00:00,5761.814513506063
2025-01-28 14:30:00,5873.552283969371
2025-01-28 15:00:00,5378.693916263899
2025-01-28 15:30:00,5299.337564113503
2025-01-28 16:00:00,4861.220439237756
2025-01-28 16:30:00,4231.355917731412
2025-01-28 17:00:00,3925.5144260533048
2025-01-28 17:30:00,3226.7890185247784
2025-01-28 18:00:00,2659.943480538492
2025-01-28 18:30:00,1978.3717339970444
2025-01-28 19:00:00,1579.2719664889523
2025-01-28 19:30:00,1169.8342137508484
2025-01-28 20:00:00,1170.0532317590112
2025-01-28 20:30:00,1248.55019316881
2025-01-28 21:00:00,1011.5096513464721
2025-01-28 21:30:00,905.8513232725747
2025-01-28 22:00:00,867.9998071307906
2025-01-28 22:30:00,798.8179775474858
2025-01-28 23:00:00,652.5220737422413
2025-01-28 23:30:00,750.2573364750439
2025-01-29 00:00:00,652.1907056857442
2025-01-29 00:30:00,486.92483255687335
2025-01-29 01:00:00,255.25110633366032
2025-01-29 01:30:00,354.57371209989697
2025-01-29 02:00:00,183.15468516876987
2025-01-29 02:30:00,3.0
2025-01-29 03:00:00,41.21761978462811
2025-01-29 03:30:00,3.0
2025-01-29 04:00:00,3.0
2025-01-29 04:30:00,3.0
2025-01-29 05:00:00,3.0
2025-01-29 05:30:00,196.72953072975952
2025-01-29 06:00:00,185.9365105913761
2025-01-29 06:30:00,550.4197338517127
2025-01-29 07:00:00,866.1114681254429
2025-01-29 07:30:00,1550.2337007002657
2025-01-29 08:00:00,2098.248672181594
2025-01-29 08:30:00,2678.0839677614667
2025-01-29 09:00:00,3215.06407314829
2025-01-29 09:30:00,4083.0974367541908
2025-01-29 10:00:00,5146.757529925276
2025-01-29 10:30:00,5607.771912694622
2025-01-29 11:00:00,6248.689240415328
